Post Url,Likes,Comments,Views,Post Date,Influencer,Video_id
https://www.instagram.com/washingtonkevinznkn/reel/DHlJl6_xDCo/,6,0,"2,038",3/25/2025,washingtonkevinznkn,DHlJl6_xDCo
https://www.instagram.com/duncan7ru1qa2t1/reel/DHGYOvzRR9F/,0,,"1,912",3/12/2025,duncan7ru1qa2t1,DHGYOvzRR9F
https://www.instagram.com/dunlapharryq6ailp/reel/DHkPrKdsIVu/,13,0,"1,894",3/25/2025,dunlapharryq6ailp,DHkPrKdsIVu
https://www.instagram.com/dunlapharryq6ailp/reel/DHLy0YKMUvN/,,,"1,863",3/14/2025,dunlapharryq6ailp,DHLy0YKMUvN
https://www.instagram.com/rosepuqr1x/reel/DHGYOi9swpD/,2,0,"1,859",3/12/2025,rosepuqr1x,DHGYOi9swpD
https://www.instagram.com/rosepuqr1x/reel/DHiqbQLsU1K/,6,0,"1,770",3/24/2025,rosepuqr1x,DHiqbQLsU1K
https://www.instagram.com/duncan7ru1qa2t1/reel/DHiqfYRRiRS/,5,0,"1,753",3/24/2025,duncan7ru1qa2t1,DHiqfYRRiRS
https://www.instagram.com/rosepuqr1x/reel/DHV0T69S4RH/,4,0,"1,640",3/19/2025,rosepuqr1x,DHV0T69S4RH
https://www.instagram.com/rosepuqr1x/reel/DHdhXciM_pY/,4,0,"1,523",3/22/2025,rosepuqr1x,DHdhXciM_pY
https://www.instagram.com/washingtonkevinznkn/reel/DHbL3DIRUPp/,7,0,"1,379",3/21/2025,washingtonkevinznkn,DHbL3DIRUPp
https://www.instagram.com/duncan7ru1qa2t1/reel/DHTK8puRCCW/,4,0,"1,330",3/17/2025,duncan7ru1qa2t1,DHTK8puRCCW
https://www.instagram.com/gomezfvzrby/reel/DHYjyiuuAaL/,1,0,"1,293",3/20/2025,gomezfvzrby,DHYjyiuuAaL
https://www.instagram.com/duncan7ru1qa2t1/reel/DHdhNByx8x2/,0,,"1,221",3/22/2025,duncan7ru1qa2t1,DHdhNByx8x2
https://www.instagram.com/duncan7ru1qa2t1/reel/DHbMLSHxdce/,0,,807,3/21/2025,duncan7ru1qa2t1,DHbMLSHxdce
