Post Url,Likes,"Comments,collections",forwarding,Views,Post Date,Influencer,Video_id
https://www.tiktok.com/@marvinslade3/video/7484999884643339566,19,0,1,6843,3/24/2025,@marvinslade3,7484999884643339566
https://www.tiktok.com/@joelsoares081/video/7481300989652290846,24,0,0,6793,3/13/2025,@joelsoares081,7481300989652290846
https://www.tiktok.com/@jasonken66/video/7484266610350361886,8,0,0,6759,3/22/2025,@jasonken66,7484266610350361886
https://www.tiktok.com/@johnsturgis6/video/7482407217908436255,5,0,0,6472,3/16/2025,@johnsturgis6,7482407217908436255
https://www.tiktok.com/@smithluiio/video/7479023985649356062,20,2,1,6471,3/7/2025,@smithluiio,7479023985649356062
https://www.tiktok.com/@johnsturgis6/video/7477204967430851871,7,0,0,6400,3/2/2025,@johnsturgis6,7477204967430851871
https://www.tiktok.com/@jasonken66/video/7480197349327867166,15,0,2,6355,3/10/2025,@jasonken66,7480197349327867166
https://www.tiktok.com/@jasonken66/video/7477963783894256927,8,0,1,6239,3/4/2025,@jasonken66,7477963783894256927
https://www.tiktok.com/@annabwlxgie/video/7479067710203251999,13,1,0,6154,3/7/2025,@annabwlxgie,7479067710203251999
https://www.tiktok.com/@kevinpotter66/video/7481670964103662894,42,2,12,6129,3/14/2025,@kevinpotter66,7481670964103662894
https://www.tiktok.com/@annabwlxgie/video/7478736482581187871,14,2,3,6128,3/7/2025,@annabwlxgie,7478736482581187871
https://www.tiktok.com/@smithluiio/video/7477201698633649438,21,0,4,5756,3/2/2025,@smithluiio,7477201698633649438
https://www.tiktok.com/@kevinpotter66/video/7479811766327774506,11,0,2,5664,3/9/2025,@kevinpotter66,7479811766327774506
https://www.tiktok.com/@joelsoares081/video/7484263027219434782,12,0,2,5657,3/21/2025,@joelsoares081,7484263027219434782
https://www.tiktok.com/@annabwlxgie/video/7485364233308327198,60,1,0,5523,3/24/2025,@annabwlxgie,7485364233308327198
https://www.tiktok.com/@jasonken66/video/7479810706490051870,9,0,1,5388,3/9/2025,@jasonken66,7479810706490051870
https://www.tiktok.com/@marvinslade3/video/7479055746039139627,12,0,3,5299,3/7/2025,@marvinslade3,7479055746039139627
https://www.tiktok.com/@jasonken66/video/7477595039976246558,11,0,1,5294,3/3/2025,@jasonken66,7477595039976246558
